ano,uf,centil,quantidade_de_contribuintes,rendimentos_tributaveis_limite_superior_da_rtb_do_centil_r_milhoes,rtb_soma_centil,rendimentos_tributaveis_rtb_acumulada_do_centil_r_milhoes,rendimentos_tributaveis_media_da_rtb_do_centil_r,rendimentos_sujeitos_a_tribut_exclusiva_r_milhoes,rendimentos_isentos_lucros_e_dividendos_r_milhoes,rendimentos_isentos_rendim_socio_titular_me_epp_opt_simples_r_milhoes,rendimentos_isentos_outros_rendimentos_isentos_r_milhoes,despesas_dedutiveis_previdencia_r_milhoes,despesas_dedutiveis_dependentes_r_milhoes,despesas_dedutiveis_instrucao_r_milhoes,despesas_dedutiveis_medicas_r_milhoes,despesas_dedutiveis_pensao_alimenticia_r_milhoes,despesas_dedutiveis_livro_caixa_r_milhoes,imposto_devido_r_milhoes,bens_imoveis,bens_e_direitos_moveis_r_milhoes,bens_e_direitos_financeiros_r_milhoes,bens_e_direitos_outros_bens_e_direitos_r_milhoes,dividas_onus,cluster
2020,AM,14.0,3.51,"12.880,33",4393.0,161.16,"12.516,21",10.41,136.36,29.11,19.18,1.08,0.99,0.25,0.75,0.12,0.01,0.0,23042.0,39.64,"1.536,44",26.38,6858.0,0
2020,AM,43.0,3.509,"35.342,50",12274.0,"2.788,62","34.979,29",12.24,8.03,2.24,18.44,4.21,4.43,1.92,3.52,0.71,0.04,1.03,6052.0,12.02,123.93,7.42,1111.0,0
2020,DF,21.0,7.616,"25.795,93",19157.0,"1.577,33","25.153,41",30.56,214.87,89.35,132.53,4.88,2.63,1.05,5.96,0.59,0.05,0.02,97987.0,142.25,"1.012,01",70.75,10764.0,2
2020,RJ,37.0,30.746,"32.531,85",98957.0,"18.214,69","32.185,40",140.69,177.02,50.38,269.45,28.09,23.55,11.21,53.35,5.16,0.77,4.97,1582.13,248.52,"2.168,28",94.11,21502.0,1
2020,SC,19.0,14.819,"22.626,76",32799.0,"2.919,51","22.132,85",56.23,134.34,69.8,181.11,4.78,3.07,0.86,4.34,0.64,0.18,0.01,1549.43,393.43,"1.361,46",68.14,25276.0,1
2020,MG,47.0,29.971,"36.534,00",1085.74,"28.311,73","36.226,35",131.62,181.31,89.61,292.4,29.4,26.32,9.41,40.72,5.61,0.88,11.37,2206.9,463.49,"2.079,96",164.77,41462.0,3
2020,GO,22.0,10.016,"20.896,79",20456.0,"1.935,78","20.423,26",14.67,34.36,28.85,112.28,3.17,2.7,0.55,2.95,0.24,0.13,0.0,83532.0,142.09,444,39.6,9931.0,2
2020,AP,41.0,813.0,"48.064,28",3863.0,846.89,"47.520,31",2.71,1.6,0.39,2.55,1.78,1.41,0.95,2.12,0.51,0.06,0.86,1122.0,2.42,12.59,0.1,196.0,0
2020,BA,26.0,12.245,"22.820,00",2764.0,"2.946,48","22.572,77",22.49,55.6,34.06,76.79,4.08,3.3,0.97,4.88,0.38,0.09,0.0,50729.0,116.19,656.3,54.56,7856.0,2
2020,AC,14.0,788.0,"20.618,51",1557.0,76.47,"19.761,14",0.72,1.07,1.13,4.56,0.22,0.21,0.03,0.23,0.08,0.01,,1963.0,5.52,22.56,1.03,214.0,0
