Ano-calendário;Ente Federativo;Centil;Quantidade de Contribuintes;Rendimentos Tributaveis - Limite Superior da RTB do Centil [R$ milhões];Rendimentos Tributaveis - Soma da RTB do Centil [R$ milhões];Rendimentos Tributaveis - RTB Acumulada do Centil [R$ milhões];Rendimentos Tributaveis - Média da RTB do Centil [R$];Rendimentos Sujeitos à Tribut. Exclusiva [R$ milhões];Rendimentos Isentos - Lucros e dividendos [R$ milhões];Rendimentos Isentos - Rendim. Sócio/Titular ME/EPP Opt SIMPLES [R$ milhões];Rendimentos Isentos - Outros Rendimentos Isentos [R$ milhões];Despesas Dedutíveis - Previdência [R$ milhões];Despesas Dedutíveis - Dependentes [R$ milhões];Despesas Dedutíveis - Instrução [R$ milhões];Despesas Dedutíveis - Médicas [R$ milhões];Despesas Dedutíveis - Pensão Alimentícia [R$ milhões];Despesas Dedutíveis - Livro-Caixa [R$ milhões];Imposto Devido [R$ milhões];Bens e Direitos - Imóveis [R$ milhões];Bens e Direitos - Móveis [R$ milhões];Bens e Direitos - Financeiros [R$ milhões];Bens e Direitos - Outros Bens e Direitos [R$ milhões];Dívidas e Ônus [R$ milhões]
2006;BRASIL;56;241.562;18.500,00;4.453,55;130.143,43;18.436,46;45,71;306,97;9,32;596,25;30,43;59,68;10,43;21,5;5,92;0,88;0,59;6.509,29;1.949,08;4.460,40;202,96;705,14
2006;BRASIL;57;241.563;18.600,00;4.476,72;134.620,15;18.532,33;31,46;241,01;4,22;496,82;19,29;37,57;6,75;14,06;3,85;0,51;0,39;6.263,18;1.956,68;4.450,28;212,8;702,09
2006;BRASIL;58;241.562;18.700,00;4.505,43;139.125,58;18.651,23;31,08;249,63;5,74;560,96;20,14;39,09;7,16;14,33;3,73;0,71;0,68;6.648,67;2.046,99;4.462,06;193,15;742,95
2006;BRASIL;59;241.563;18.900,00;4.533,51;143.659,09;18.767,39;81,38;287,6;10,41;555,55;57,41;107,41;18,98;37,44;10,67;1,4;1,56;6.219,03;1.737,02;4.160,16;218,62;657,72
2006;BRASIL;60;241.562;19.221,50;4.604,23;148.263,32;19.060,24;134,07;403,99;22,05;721,74;118,35;218,28;39,47;80,36;20,89;2,86;7,12;7.138,39;1.880,41;4.612,93;222,79;845,68
2006;BRASIL;61;241.563;19.610,00;4.690,75;152.954,07;19.418,32;189,12;366,9;17,84;754,95;157,17;281,94;53,56;102,88;25,23;3,03;12,65;7.261,20;1.909,39;4.585,17;190,19;811,78
2006;BRASIL;62;241.562;20.002,72;4.787,30;157.741,36;19.818,08;195,76;425,98;23,84;796,27;174,67;298,61;61,56;120,67;28,93;3,5;19,2;7.258,33;1.946,65;4.562,48;222,75;11.971,07
2006;BRASIL;63;241.563;20.430,91;4.884,11;162.625,47;20.218,79;277,63;512,28;24,67;799,84;202,49;338,66;74,13;142,88;33,85;4,29;24,26;7.932,18;1.878,94;5.197,31;588,45;869,26
2006;BRASIL;64;241.562;20.900,90;4.991,71;167.617,18;20.664,29;245,07;425,16;23,63;772,53;225,74;367,78;85,22;163,15;37,86;4,34;30,23;6.956,84;1.793,65;4.360,10;200,29;822,3
2006;BRASIL;65;241.563;21.384,64;5.105,70;172.722,88;21.136,11;251,72;361,44;24,64;779,45;233,28;388,23;95,55;180,42;39,97;5,56;37,54;7.132,57;1.822,22;4.367,78;196,63;772,6
2006;BRASIL;66;241.562;21.873,37;5.222,73;177.945,61;21.620,67;302,68;445,52;30,75;801,12;238,2;393,87;105,49;197,13;41,71;7,74;45,29;7.502,28;1.869,45;4.781,98;198,24;825,47
2006;BRASIL;67;241.563;22.399,04;5.346,53;183.292,15;22.133,07;404,12;443,46;30,15;803,61;251,72;404,96;118,32;213,91;44,71;7,45;53,4;7.599,29;1.900,14;5.094,17;184,09;851,46
2006;BRASIL;68;241.563;22.951,66;5.476,43;188.768,58;22.670,82;300,36;453,36;28,5;853,13;276,91;428,48;131,55;227,78;47,08;7,68;61,11;7.275,00;1.897,70;4.871,73;194,26;858,32
2006;BRASIL;69;241.562;23.468,97;5.606,05;194.374,63;23.207,52;322,88;394,55;28,73;786,88;252,67;419,12;137,27;259,36;51,48;7,95;72,51;8.351,13;1.887,96;5.017,83;216,61;2.599,11
2006;BRASIL;70;241.563;24.054,66;5.745,13;200.119,76;23.783,16;309,56;773,99;46,91;880,12;288,01;427,59;156,71;260,75;47,88;16,78;82,01;8.148,33;2.176,54;7.345,93;277,16;1.193,11
2006;BRASIL;71;241.562;24.734,43;5.891,77;206.011,53;24.390,30;353,65;423,06;35,44;879,81;323,96;472,44;172,68;291,06;54,5;11,98;88,34;7.513,02;1.936,32;4.940,51;218,66;864,72
2006;BRASIL;72;241.563;25.446,00;6.060,28;212.071,81;25.087,78;354,44;469,58;33,71;878,95;325,04;470,93;183,37;310,3;55,95;18,09;102,7;8.130,05;2.070,45;5.339,83;282,61;1.044,04
2006;BRASIL;73;241.562;26.205,20;6.237,33;218.309,14;25.820,82;391,5;504,11;35,51;938,52;332,96;484,87;199,79;343,17;58,66;15,7;116,31;9.183,87;2.112,24;6.153,88;212,53;1.027,86
2006;BRASIL;74;241.563;26.993,67;6.422,43;224.731,57;26.586,99;392,75;460,14;37,35;1.050,45;360,93;498,83;208,64;360,11;65,55;20,64;130,27;7.906,70;2.048,08;5.331,50;205,04;978,57
2006;BRASIL;75;241.562;27.851,56;6.623,09;231.354,66;27.417,75;490,32;643,06;40,93;992,16;384,93;518,33;232,35;391,11;71,43;21,72;144,26;8.880,04;2.247,96;6.944,28;293,91;1.117,45
2006;BRASIL;76;241.563;28.772,07;6.836,65;238.191,32;28.301,75;435,43;569,01;41,69;993,17;398,76;525,37;247,66;420,11;75,56;24,18;162,27;9.238,35;2.262,49;8.050,00;279,23;1.201,33
2006;BRASIL;77;241.562;29.772,61;7.067,67;245.258,98;29.258,20;475,47;630,8;44,39;1.057,47;411,29;524,8;261,18;454,71;78,11;28,14;183,04;9.371,23;2.406,67;6.738,72;305,4;1.277,84
2006;BRASIL;78;241.563;30.778,18;7.307,04;252.566,03;30.249,01;428,77;742,05;54,97;1.107,60;409,33;505,16;268,41;472,99;76,44;40,01;208,84;11.048,73;2.535,88;7.847,63;298,82;1.395,00
2006;BRASIL;79;241.562;31.934,73;7.572,16;260.138,18;31.346,65;476,72;664,5;42,42;1.120,98;447,41;536,21;295,02;521,54;83,58;35,33;227,41;9.955,73;2.499,10;6.843,18;279,35;1.215,56
2006;BRASIL;80;241.563;33.085,08;7.851,71;267.989,90;32.503,79;480,91;1.082,69;80,88;1.216,09;461,29;526,67;303,71;543,12;87,73;38,71;256,88;11.402,13;2.754,20;8.418,22;872,83;1.599,00
2006;BRASIL;81;241.562;34.273,79;8.125,01;276.114,91;33.635,31;606,92;1.821,44;130,76;1.450,60;481,1;515,62;309,45;573,11;93;43,05;285,26;12.815,69;3.053,09;11.618,46;429,53;1.539,20
2006;BRASIL;82;241.563;35.678,38;8.443,81;284.558,73;34.954,92;572,05;814,19;45,55;1.193,62;499,55;543,66;332,43;611,39;100,53;45,7;313,06;11.695,59;2.745,49;9.020,57;419,32;1.470,65
2006;BRASIL;83;241.562;37.174,74;8.791,69;293.350,42;36.395,19;564,49;1.185,41;60,56;1.324,99;491,94;520,7;337,88;634,52;98,31;63,18;353,54;13.991,65;3.083,64;10.273,58;613,44;1.718,68
